L,U,V,t,β,δ,m,uS,ud,vpx,vpy,Qm,QuS,Qud,Qvpx,Qvpy,I,f,g,g0,ΔT,μ
30,1.5,1.8,1.0,100.0,0.1,2.1862453554671805e-5,-0.7910292777689478,0.005905504007089666,-2.254981913514711e-22,-6.945837143242524e-21,0.012602689566011243,0.019478420262353247,0.9751870907301233,0.0008711228593176057,0.0008711228593176032,46,-4.248544162712119,0.2,0.2,0.812663468,0.6892328867300461
30,1.5,2.0,1.0,100.0,0.1,0.00021392674106624388,-0.7902058891509367,0.04784335847855271,6.013432705126467e-20,2.3767319965135935e-20,0.1314875653672579,0.26557240429225804,0.9283822926948861,0.02475880078570766,0.02475880078570764,31,-4.538368806475207,0.2,0.2,0.541927955,0.7515350346852215
30,2.0,1.0,1.0,100.0,0.1,0.002591461655425063,-0.7910291938169636,0.002263133498314279,-1.7560941758491428e-19,-5.787784874920728e-19,0.7099162110560105,0.8694198526184582,0.8001607979602865,0.094447329657393,0.09444732965739289,25,-3.168262698740779,0.2,0.2,0.444788763,0.557529066806689
30,2.0,1.2,1.0,100.0,0.1,0.001708467309773014,-0.7910343019853543,0.0032736229368754482,-1.2276657289644181e-19,-3.7798497208731155e-19,0.5142926950921057,0.5620779683166433,0.9593267250545623,0.06044629098073156,0.06044629098073146,27,-3.438202198966638,0.2,0.2,0.484179033,0.5902248847581445
30,2.0,1.4,1.0,100.0,0.1,0.0008565778852078186,-0.7910365043495019,0.00400108776191204,-3.2079517664549054e-20,-1.745360687271933e-19,0.2811599193512084,0.23737537059032032,0.9869601212215399,0.024758800785707656,0.02475880078570758,31,-3.708245091923734,0.2,0.2,0.549271738,0.6230983129426063
30,2.0,1.6,1.0,100.0,0.1,0.00031885540521932874,-0.7910360775596643,0.004583095424968272,-1.2773518201959623e-20,-8.144339485879098e-20,0.11330491196750152,0.07019529737206653,0.9603216199028921,0.006490371073168559,0.006490371073168525,37,-3.978207838272168,0.2,0.2,0.646594344,0.6558498556294247
30,2.0,1.8,1.0,100.0,0.1,7.490475208715807e-5,-0.7910306313793094,0.005703855033237371,-2.0116913327155535e-21,-2.2304168629930708e-20,0.028639136343034905,0.019144761096745455,0.9594390670772788,0.0008711228593176087,0.0008711228593175996,46,-4.248428655086057,0.2,0.2,0.805237551,0.6890396200525332
30,2.0,2.0,1.0,100.0,0.1,0.0005301199459722054,-0.7902085817513315,0.047725881531405626,1.5348827285601873e-19,7.646358405556381e-20,0.21784137468737821,0.26473859657263343,0.8838432099941812,0.02475880078570766,0.02475880078570766,31,-4.538180996429081,0.2,0.2,0.533463439,0.7512570276739977
30,2.5,1.0,1.0,100.0,0.1,0.005275794563987406,-0.790994490828775,0.0019265793922268986,-6.238277623335481e-19,-1.3310138648681706e-18,0.9461255108625738,0.717704435571731,0.6883262704264441,0.07555786372591446,0.07555786372591432,26,-3.1683787240804238,0.2,0.2,0.461787796,0.55790439115544
30,2.5,1.2,1.0,100.0,0.1,0.0039340932370543775,-0.7910133335931202,0.003194357599471873,-3.010862710598447e-19,-9.611603833622099e-19,0.790178504777449,0.576984218933907,0.9398777998239741,0.0604462909807316,0.060446290980731406,27,-3.4382329252093524,0.2,0.2,0.480658098,0.5904032460658669
