L,U,V,t,β,δ,m,uS,vS,Qm,QuS,QvS,Converged,I,f,g,g0,ΔT,μ
128,0.5,3.3,1.0,100.0,0.0,0.12222590698263411,0.4009432865188469,-7.347735409939188e-11,0.8276080468962999,0.07298320199911057,2.2212143187401021e-7,true,24,-1.0807694803453063,0.5,0.5,0.267558532,0.0
128,0.5,3.4,1.0,100.0,0.0,0.1334241416736743,0.3998638649550188,-3.44485943788698e-9,0.8021830325018464,0.08200156904580869,1.0134682527153637e-5,true,24,-1.0647399449189074,0.5,0.5,0.261114448,0.0
128,0.5,3.5,1.0,100.0,0.0,0.14519931131451558,0.39855293428311733,1.7307057177351087e-7,0.9618557845675335,0.11329752619715361,0.0004962335330884678,true,23,-1.0488062129459976,0.5,0.5,0.225631375,0.0
128,0.5,3.6,1.0,100.0,0.0,0.15776241656696638,0.39694006526662573,3.709780715627117e-6,0.850427887871763,0.11565783511924277,0.010383304353376942,true,23,-1.0329889744883658,0.5,0.5,0.21684585,0.0
128,0.5,3.7,1.0,100.0,0.0,0.17074042861107608,0.3950228747219794,-7.248937591763687e-5,0.9526719951278295,0.1484185458453524,0.19835847271203358,true,22,-1.017311602352234,0.5,0.5,0.209994349,0.0
128,0.5,3.8,1.0,100.0,0.0,0.18449236829785326,0.3926894437247357,0.0003619399744986204,0.0001624316248172164,1.6303458361122125e-5,0.9702054863705206,true,49,-1.0018014438535907,0.5,0.5,0.465707026,0.0
128,0.5,3.9,1.0,100.0,0.0,NaN,NaN,NaN,0.009585133973644133,0.0013892184427266585,214.4203440482846,false,100,NaN,0.5,0.5,1.972083138,0.0
128,0.5,4.0,1.0,100.0,0.0,0.17675271667628878,0.3750000009196494,NaN,1.9628587921705076e-5,1.0393783611561958e-6,322.7053581718299,false,100,NaN,0.5,0.5,1.150992957,0.0
128,1.0,0.0,1.0,100.0,0.0,0.060788141970432426,0.40451167085214423,0.0,0.8735491693890735,0.029162989202191625,0.000762939453125,true,19,-1.621750399346752,0.5,0.5,0.187221921,0.0
128,1.0,0.1,1.0,100.0,0.0,0.06347273032554163,0.4044271932339777,-1.1055411208883679e-8,0.9445282185842618,0.03564288206936439,0.001093439931340681,true,18,-1.6053883624263126,0.5,0.5,0.176332813,0.0
128,1.0,0.2,1.0,100.0,0.0,0.06611291056939697,0.4043386809640266,-1.5512429789076254e-8,0.838753782954782,0.03387210897842774,0.000767300126914743,true,18,-1.589033353234771,0.5,0.5,0.166115183,0.0
128,1.0,0.3,1.0,100.0,0.0,0.06903679747639652,0.40423425472576574,-3.41051577246133e-8,0.8717915682626143,0.0417129253301729,0.0011249340045725966,true,17,-1.572686026126509,0.5,0.5,0.173041057,0.0
128,1.0,0.4,1.0,100.0,0.0,0.07208272365436585,0.4041181290893856,-6.834716698207569e-8,0.8777198205447423,0.053387346198752184,0.0016912760638448038,true,16,-1.5563474346762902,0.5,0.5,0.149160569,0.0
128,1.0,0.5,1.0,100.0,0.0,0.07524390291164973,0.40398949101175696,-1.3203061121685604e-7,0.8408902981331401,0.07265261314848281,0.0026145593031602628,true,15,-1.540018662276326,0.5,0.5,0.202941322,0.0
128,1.0,0.6,1.0,100.0,0.0,0.07865421815902593,0.40384120582708105,-5.858191446192577e-7,0.894669738097903,0.18861926635882487,0.009671057347669399,true,13,-1.523700849821165,0.5,0.5,0.130822667,0.0
128,1.0,0.7,1.0,100.0,0.0,0.08209066174629497,0.4036815261613841,-2.7853596023137938e-6,0.8061954069611132,0.6312484482617897,0.039432319308596024,true,11,-1.507395494247187,0.5,0.5,0.112604807,0.0
128,1.0,0.8,1.0,100.0,0.0,0.08529744067547929,0.40352297876774473,-2.3596793726874254e-6,0.25838270778721917,0.6056224948945976,0.02924201733041225,true,11,-1.491104171834142,0.5,0.5,0.218156017,0.0
128,1.0,0.9,1.0,100.0,0.0,0.08867288206919788,0.40334589404484633,-1.920542841503238e-6,0.32649511947699383,0.5750656220977479,0.02116508566578181,true,11,-1.4748283178737362,0.5,0.5,0.785144734,0.0
128,1.0,1.0,1.0,100.0,0.0,0.092227040184275,0.40314783054193626,-1.5018160180095093e-6,0.9501240859211002,0.5387930965297105,0.014902903562855278,true,11,-1.4585698712151394,0.5,0.5,0.119932863,0.0
128,1.0,1.1,1.0,100.0,0.0,0.09663329522400495,0.4028852842151689,-5.154840552936899e-8,0.9102730081782529,0.01839858798202698,0.0004652681622823603,true,14,-1.442331570131112,0.5,0.5,0.179205815,0.0
128,1.0,1.2,1.0,100.0,0.0,0.1012325025447313,0.4025905213773159,-3.7119599351940635e-9,0.8689050732139381,0.03872065790833101,3.073360001651186e-5,true,16,-1.4261156211610821,0.5,0.5,0.451292237,0.0
128,1.0,1.3,1.0,100.0,0.0,0.10597212959524546,0.40226386245105594,-6.260231281726579e-10,0.9233391754328302,0.0561206723388441,4.788374141257927e-6,true,17,-1.4099248322551376,0.5,0.5,0.511548333,0.0
