L,U,V,t,β,δ,m,uS,ud,vd,Qm,QuS,Qud,Qvd,Converged,I,f,g,g0,ΔT,μ
128,0.0,3.8,1.0,100.0,0.0,0.0,0.36082064448283646,3.469446951953614e-18,NaN,3.155443620884047e-28,0.0,8.481161316506113e-15,828.9629433389136,false,100,NaN,0.5,0.5,1.379885846,0.0
128,0.0,3.9,1.0,100.0,0.0,0.0,0.357482208282043,3.122502256758253e-17,NaN,3.155443620884047e-28,0.0,8.649288034732427e-14,842.6250887485061,false,100,NaN,0.5,0.5,1.581933416,0.0
128,0.0,4.0,1.0,100.0,0.0,0.0,0.35406309930700613,2.393918396847994e-16,NaN,3.155443620884047e-28,1.1102230246251565e-13,6.891579499278597e-13,855.5589277062569,false,100,NaN,0.5,0.5,2.240276173,0.0
128,0.5,0.0,1.0,100.0,0.0,0.0012379093145031767,0.40523042402125686,1.3877787807814457e-17,0.0,0.8967438423698746,0.00035243725182709795,5.9604644704261906e-6,5.9604644775390625e-6,true,26,-1.621228508634671,0.5,0.5,0.314391274,0.0
128,0.5,0.1,1.0,100.0,0.0,0.0014090599139566,0.4052296979829638,-1.4943598442007655e-11,-7.859497414469064e-14,0.970301114154368,0.0004271462348270916,2.628340722814081e-7,6.296076376066847e-10,true,26,-1.6048073017941211,0.5,0.5,0.295366464,0.0
128,0.5,0.2,1.0,100.0,0.0,0.0014046460732408733,0.405228974130996,-2.497030360260055e-13,-2.8708813633427463e-21,0.9161952668824109,0.0003912220332136229,2.4238183886858078e-9,1.4259673329798112e-17,true,27,-1.5883862136315618,0.5,0.5,0.726939981,0.0
128,0.5,0.3,1.0,100.0,0.0,0.0016117571960979423,0.405228123713949,-3.1502578323738817e-15,-2.5913291329424163e-50,0.9924433472771653,0.00048113546491368453,2.220952542196419e-11,1.024189693953163e-46,true,27,-1.5719651115218913,0.5,0.5,0.357313675,0.0
128,0.5,0.4,1.0,100.0,0.0,0.0016507692123125715,0.4052272696805428,6.938893903907228e-18,2.42014459548422e-24,0.9552346785483106,0.0004667370328004239,1.6823035723137344e-14,8.336811178763459e-21,true,28,-1.5555441378083117,0.5,0.5,0.333628892,0.0
128,0.5,0.5,1.0,100.0,0.0,0.0017220701350081037,0.40522633672923813,-1.734723475976807e-17,2.161523291667034e-15,0.9319897151867287,0.0004696610140797475,5.1057565680230154e-14,6.787316577418756e-12,true,29,-1.539123224457685,0.5,0.5,1.053282177,0.0
128,0.5,0.6,1.0,100.0,0.0,0.0018305385102689621,0.40522531389283445,-1.734723475976807e-17,-1.0941176171658215e-10,0.9214525177784083,0.0004893315093124073,2.763997963241586e-14,3.213232401465812e-7,true,30,-1.5227023760054241,0.5,0.5,0.399317067,0.0
128,0.5,0.7,1.0,100.0,0.0,0.0019832319776568012,0.4052241867022033,-2.7755575615628914e-17,1.451350331485109e-7,0.922571560352017,0.0005270411377322759,7.398690554097636e-14,0.00040515423376889234,true,31,-1.5062815966063265,0.5,0.5,0.611796203,0.0
128,0.5,0.8,1.0,100.0,0.0,0.002188875863970986,0.4052229328183736,2.7755575615628914e-17,0.00025826976391139583,0.9338689671254145,0.000586317366657596,6.996585098095622e-14,0.6928223854398536,true,32,-1.4898611000996866,0.5,0.5,0.746326003,0.0
