L,U,V,t,β,δ,m,uS,ud,vx,vy,Qm,QuS,Qud,Qvx,Qvy,Converged,I,f,g,g0,ΔT,μ
128,0.5,0.5,1.0,100.0,0.0,0.001737338152663578,0.4052263305799663,1.0408340855860843e-17,-7.021324564874123e-22,-6.518479269202559e-22,0.9402830653992239,0.000478031542461288,3.8070852758915676e-15,3.596562054364679e-18,3.3389875336430946e-18,true,29,-1.539123218836294,0.5,0.5,0.563333684,0.0
128,0.5,0.6,1.0,100.0,0.0,0.0018469723449414657,0.40522530677921187,2.0816681711721685e-17,-5.263655048134335e-28,-4.719869845493227e-28,0.9297599964954778,0.0004981867551823171,1.598755275047491e-14,2.40104885624168e-24,2.152997867546028e-24,true,30,-1.522702369932857,0.5,0.5,0.560922985,0.0
128,0.5,0.7,1.0,100.0,0.0,0.00200100727859888,0.40522417827298235,3.122502256758253e-17,-2.1769571618204274e-40,-1.867677001409715e-40,0.9308827188726428,0.0005365797790535254,6.508555537351504e-14,9.057407641696845e-37,7.770622335371978e-37,true,31,-1.5062815899288309,0.5,0.5,0.583791694,0.0
128,0.5,0.8,1.0,100.0,0.0,0.0022104379282223852,0.40522292475948,2.0816681711721685e-17,8.604504100293537e-50,6.940986168307943e-50,0.9431058396284047,0.0005968734738681647,3.6475436967097426e-14,3.3208902715043765e-46,2.6788590222409146e-46,true,32,-1.4898608820139594,0.5,0.5,0.600084453,0.0
128,0.5,0.9,1.0,100.0,0.0,0.0024908758654550544,0.4052215172156439,1.0408340855860843e-17,-3.860078670775987e-34,-3.0649839366355986e-34,0.965901101011816,0.0006851445142341817,2.2549765014559596e-14,1.399267361755181e-30,1.1110478186124492e-30,true,33,-1.4734402482359452,0.5,0.5,0.622651139,0.0
128,0.5,1.0,1.0,100.0,0.0,0.002864375905966209,0.40521991225916976,-6.938893903907228e-18,1.1758490611975681e-27,7.382811424287241e-28,0.9984940521916025,0.0008105721120976739,1.5784200342433145e-14,4.041506712341157e-24,2.537543542945644e-24,true,34,-1.4570196889199083,0.5,0.5,0.661198756,0.0
128,0.5,1.1,1.0,100.0,0.0,0.003137415378545653,0.40521822405890423,-3.469446951953614e-18,-5.15021013245815e-23,-3.562864866984342e-23,0.9688870700426686,0.0008572260855599367,1.9620209572525814e-14,1.690813725940687e-19,1.1696883555882596e-19,true,36,-1.4405992995146892,0.5,0.5,0.675115118,0.0
128,0.5,1.2,1.0,100.0,0.0,0.0035646365663637228,0.4052162393026845,5.898059818321144e-17,-1.6802075563476072e-19,-1.0173441590232426e-19,0.9582659286444563,0.0009591851203305524,1.6347765852552872e-13,5.300038095742849e-16,3.2091051959232766e-16,true,38,-1.4241789907081437,0.5,0.5,0.726323094,0.0
128,0.5,1.3,1.0,100.0,0.0,0.004201498897514812,0.40521382565160147,-6.002143226879753e-16,-1.4628186329832471e-16,-7.591516267389881e-17,0.9610837811020803,0.0011301300719690488,1.827560464321472e-12,4.4549387432882287e-13,2.311957147478127e-13,true,40,-1.4077587619036094,0.5,0.5,0.772205823,0.0
128,0.5,1.4,1.0,100.0,0.0,0.005132756122038127,0.40521073756545517,-1.755748324505646e-13,-6.60903195803476e-14,-2.7905425956781824e-14,0.9692658588770272,0.0013897622902492301,5.138937876286479e-10,1.9510102969704574e-10,8.237783343873043e-11,true,42,-1.3913386108230912,0.5,0.5,0.792607128,0.0
