L,U,V,t,β,δ,m,uS,Qm,QuS,Converged,I,f,g,g0,ΔT,μ,Layer
128,0.1,5.5,1.0,100.0,0.0,0.28616173096880937,0.35330159333246247,0.8916883492252614,0.48485834507117076,true,38,-0.7363787538520588,0.25,0.5,0.294340054,0.0,5
128,0.1,5.6,1.0,100.0,0.0,0.29914967549217764,0.3472330200056074,0.9286162697583755,0.026030971822521565,true,17,-0.724117179467026,0.125,0.25,0.129213643,0.0,5
128,0.1,5.7,1.0,100.0,0.0,0.3102222863244586,0.34155265465754503,0.9119956266000484,0.023576135257608044,true,48,-0.7122573743971877,0.125,0.25,0.358066728,0.0,5
128,0.1,5.8,1.0,100.0,0.0,0.3201399971821116,0.33602628096737497,0.9344227960259577,0.02237214806577459,true,58,-0.7007803427371939,0.125,0.25,0.422698894,0.0,5
128,0.1,5.9,1.0,100.0,0.0,0.32909883317995214,0.3306525938638359,0.9020284008911528,0.020082798291354287,true,59,-0.6896695835043821,0.125,0.25,0.439781846,0.0,5
128,0.1,6.0,1.0,100.0,0.0,0.33723296448651185,0.32542941708313833,0.9036695579345277,0.018777360642374674,true,59,-0.6789092108171261,0.125,0.25,0.440677731,0.0,5
128,0.1,6.1,1.0,100.0,0.0,0.34465861267132936,0.32035329749418384,0.9324477451386759,0.01835442435438317,true,59,-0.668484006435972,0.125,0.25,0.432526447,0.0,5
128,0.1,6.2,1.0,100.0,0.0,0.3508807450014111,0.31585699135985545,0.9879524376731341,0.8949985670911875,true,54,-0.658396989315913,0.125,0.25,0.403994976,0.0,5
128,0.1,6.3,1.0,100.0,0.0,0.3577469151111332,0.31062681882447796,0.9859336137624242,0.01697050816318324,true,22,-0.6485816721861621,0.0625,0.125,0.153087463,0.0,5
128,0.1,6.4,1.0,100.0,0.0,0.3635503976747435,0.30596763760191925,0.9957718004255378,0.016184040117162013,true,74,-0.6390775381670816,0.0625,0.125,0.518612232,0.0,5
128,0.1,6.5,1.0,100.0,0.0,0.36893708546878035,0.30143855514642404,0.9564629769032162,0.014712450140175193,true,87,-0.6298545323065762,0.0625,0.125,0.614458925,0.0,5
128,0.1,6.6,1.0,100.0,0.0,0.3739418420830012,0.29703525989614216,0.9981394823358469,0.014561203638741027,true,88,-0.6209007808022241,0.0625,0.125,0.615743771,0.0,5
128,0.1,6.7,1.0,100.0,0.0,0.37861277890283096,0.2927531860556083,0.9983219263534071,0.013839399239490291,true,88,-0.6122050149808523,0.0625,0.125,0.616362556,0.0,5
128,0.1,6.8,1.0,100.0,0.0,0.3829817756807203,0.28858802779160486,0.9715780808412511,0.01282175286854148,true,88,-0.6037565420016875,0.0625,0.125,0.613942825,0.0,5
128,0.1,6.9,1.0,100.0,0.0,0.38707232922734935,0.28453563697728357,0.9929152932670604,0.01249439314798817,true,87,-0.5955452157174411,0.0625,0.125,0.608816114,0.0,5
128,0.1,7.0,1.0,100.0,0.0,0.3909170392782556,0.28059182651362646,0.9550871879780987,0.011477765759604353,true,87,-0.587561407939702,0.0625,0.125,0.606664725,0.0,5
128,0.1,7.1,1.0,100.0,0.0,0.3945292890545672,0.27675274902251285,0.9863720488293426,0.01133639620853888,true,86,-0.5797959798972275,0.0625,0.125,0.600465817,0.0,5
128,0.1,7.2,1.0,100.0,0.0,0.39793731857551207,0.2730144888252671,0.9544857820379393,0.01050542666813925,true,86,-0.5722402554194544,0.0625,0.125,0.598693986,0.0,5
128,0.1,7.3,1.0,100.0,0.0,0.40115104378362565,0.26937346804998585,0.9722008710369989,0.0102473393832625,true,86,-0.5648859945194685,0.0625,0.125,0.599504893,0.0,5
128,0.1,7.4,1.0,100.0,0.0,0.40419223745099564,0.26582219283364894,0.9921051685692905,0.0180858578382459,true,87,-0.5577253722528255,0.0625,0.125,0.608330769,0.0,5
