L,U,V,t,β,δ,uS,ud,QuS,Qud,Converged,I,f,g,g0,ΔT,μ
128,0.0,2.3,1.0,100.0,0.01,0.4039288107355008,NaN,0.0,166.92088271093706,false,100,NaN,0.5,0.5,32.110025366,0.023361200788446345
128,0.0,2.4,1.0,100.0,0.01,0.40319155242837823,NaN,0.0,204.93591947579236,false,100,NaN,0.5,0.5,32.008945395,0.02409700284594686
128,0.0,2.5,1.0,100.0,0.01,0.40219136794426824,NaN,0.0,244.30638492122546,false,100,NaN,0.5,0.5,31.890651426,0.02472636255974921
128,0.0,2.6,1.0,100.0,0.01,0.4008881756964752,NaN,1.1102230246251565e-13,284.58966140049415,false,100,NaN,0.5,0.5,31.435769316,0.025274467653082004
128,0.0,2.7,1.0,100.0,0.01,0.39925207379074507,NaN,1.1102230246251565e-13,325.2094830346145,false,100,NaN,0.5,0.5,30.951568097,0.025776077484779794
128,0.0,2.8,1.0,100.0,0.01,0.39725810386241345,NaN,0.0,365.73184847245386,false,100,NaN,0.5,0.5,32.029339014,0.026257831937830815
128,0.0,2.9,1.0,100.0,0.01,0.39489736274500487,NaN,0.0,405.65308353457885,false,100,NaN,0.5,0.5,31.824552747,0.02667018106106736
128,0.0,3.0,1.0,100.0,0.01,0.3921775176253588,NaN,0.0,444.48344990763934,false,100,NaN,0.5,0.5,32.253670202,0.02699701762490678
128,0.0,3.1,1.0,100.0,0.01,0.38911369173168386,NaN,0.0,481.89390768258033,false,100,NaN,0.5,0.5,31.860598802,0.02731682170374405
128,0.0,3.2,1.0,100.0,0.01,0.38573098397539174,NaN,0.0,517.6345630818504,false,100,NaN,0.5,0.5,31.918566335,0.027657678033933982
128,0.0,3.3,1.0,100.0,0.01,0.38206302244668944,NaN,2.220446049250313e-13,551.5220307155847,false,100,NaN,0.5,0.5,31.397712902,0.028005104375966303
128,0.0,3.4,1.0,100.0,0.01,0.37814492390028115,NaN,1.1102230246251565e-13,583.4739248788145,false,100,NaN,0.5,0.5,31.782198938,0.028327010242866102
128,0.0,3.5,1.0,100.0,0.01,0.3740127908176829,NaN,0.0,613.4706548314886,false,100,NaN,0.5,0.5,32.023505525,0.028616330671413157
128,0.0,3.6,1.0,100.0,0.01,0.3697017353062299,NaN,1.1102230246251565e-13,641.5413606122073,false,100,NaN,0.5,0.5,31.146219374,0.028864762433229472
128,0.0,3.7,1.0,100.0,0.01,0.36524880948464217,NaN,0.0,667.7260875823785,false,100,NaN,0.5,0.5,30.621444575,0.029060722497966176
128,0.0,3.8,1.0,100.0,0.01,0.3606962263628877,NaN,0.0,692.0552293701023,false,100,NaN,0.5,0.5,31.878224977,0.029205725666717877
128,0.0,3.9,1.0,100.0,0.01,0.3560878904676599,NaN,2.220446049250313e-13,714.5736922911991,false,100,NaN,0.5,0.5,31.810702682,0.02938469623293912
128,0.0,4.0,1.0,100.0,0.01,0.3514359471297318,NaN,1.1102230246251565e-13,735.4805463458051,false,100,NaN,0.5,0.5,31.274547202,0.029749983328116937
128,0.0,0.0,1.0,100.0,0.02,0.40498808723185353,1.3877787807814457e-17,0.5956798578747868,0.1953125,true,11,-0.8101579532642986,0.5,0.5,3.674015351,0.06374624529549133
128,0.0,0.1,1.0,100.0,0.02,0.4049870997734676,-3.3862024466091434e-6,0.5957280833058798,0.09439776474456107,true,11,-0.8101598899458283,0.5,0.5,3.578515533,0.06240557415844958
128,0.0,0.2,1.0,100.0,0.02,0.404986046565177,-2.807508022617533e-6,0.5958786026267759,0.04121124341232839,true,11,-0.8101618703289595,0.5,0.5,3.520216701,0.061065821825905205
128,0.0,0.3,1.0,100.0,0.02,0.4049849214862826,-1.5373908733296027e-6,0.5961178343161233,0.01580327462954206,true,11,-0.8101638947699829,0.5,0.5,3.540556091,0.05972715370040249
128,0.0,0.4,1.0,100.0,0.02,0.40498371771041675,-6.343014118947998e-7,0.5964310324890754,0.005124672706979409,true,11,-0.8101659633580711,0.5,0.5,3.511158238,0.05838975030461121
128,0.0,0.5,1.0,100.0,0.02,0.40498242761232744,-1.9930819296354318e-7,0.59678048893963,0.0013471276996625161,true,11,-0.8101680758345003,0.5,0.5,3.460540675,0.05705380796959946
128,0.0,0.6,1.0,100.0,0.02,0.4049810426592769,-4.513402973582714e-8,0.5971557521186055,0.00026532891672024746,true,11,-0.8101702314998397,0.5,0.5,3.554873963,0.05571953999957074
