L,U,V,t,β,δ,uS,wd,QuS,Qwd,Converged,I,f,g,g0,ΔT,μ
128,0.0,0.9,1.0,100.0,0.01,0.4002221802268278,0.16508151550716763,0.05996544408148896,0.8828663479406029,true,16,-1.4995846307674852,0.5,0.5,10.791170967,0.03593195510928881
128,0.0,1.0,1.0,100.0,0.01,0.39851974127077494,0.18186233123137685,0.08215924053578405,0.9056269762283131,true,16,-1.48720395098018,0.5,0.5,11.310592901,0.03699164157706752
128,0.0,1.1,1.0,100.0,0.01,0.39659462028173276,0.19720564724050324,0.1017124832662919,0.8872656135578416,true,16,-1.4754777957444434,0.5,0.5,11.021847057,0.03790846711275647
128,0.0,1.2,1.0,100.0,0.01,0.3944644799687036,0.21124883776260944,0.11807446456990611,0.8440472156567291,true,16,-1.4644299594144252,0.5,0.5,11.292286235,0.03870732719828944
128,0.0,1.3,1.0,100.0,0.01,0.3921467304296131,0.22412093527513646,0.13104683667031214,0.7869106549331373,true,16,-1.4540733835970272,0.5,0.5,11.140088176,0.0394068129653306
128,0.0,1.4,1.0,100.0,0.01,0.3896580814411772,0.23593940481826087,0.14066541688240175,0.7230955985941812,true,16,-1.4444131074138138,0.5,0.5,10.858733489,0.04002121750061948
128,0.0,1.5,1.0,100.0,0.01,0.38701434066256374,0.24680943536387895,0.1471136856601163,0.6573133979320689,true,16,-1.4354483650302996,0.5,0.5,11.488672448,0.04056179547905288
128,0.0,1.6,1.0,100.0,0.01,0.38424951709378286,0.2567597191870431,0.22465678877603423,0.9262787673527395,true,15,-1.4271677786199621,0.5,0.5,10.224650835,0.04102522793117421
128,0.0,1.7,1.0,100.0,0.01,0.3813382935652547,0.26601226341057876,0.2300686336483837,0.8423641524661907,true,15,-1.4195763667189079,0.5,0.5,10.280985884,0.04144479404716749
128,0.0,1.8,1.0,100.0,0.01,0.37831344247466236,0.27456430145014304,0.2319562777629569,0.7618772571625909,true,15,-1.4126570720324383,0.5,0.5,10.144598214,0.04181397923461858
128,0.0,1.9,1.0,100.0,0.01,0.37518716054845225,0.2824804427609729,0.2307252237967461,0.6860294899594388,true,15,-1.4063980139941015,0.5,0.5,10.567025742,0.04213879112617155
128,0.0,2.0,1.0,100.0,0.01,0.3719708512336185,0.2898179834371909,0.2267953115731025,0.6155076195917264,true,15,-1.400786164677406,0.5,0.5,10.364179566,0.04242470265562548
128,0.0,2.1,1.0,100.0,0.01,0.3686974678504036,0.2965839586650016,0.3520438615804977,0.9256889629424281,true,14,-1.3957999962606162,0.5,0.5,9.700570778,0.042661710293756205
128,0.0,2.2,1.0,100.0,0.01,0.3653303093566136,0.30291924873086556,0.3444115099238143,0.8381574246946188,true,14,-1.3914406990615538,0.5,0.5,9.697072219,0.04288504650197392
128,0.0,2.3,1.0,100.0,0.01,0.36190313386464074,0.30881175658733717,0.33391469036070376,0.7574926862529141,true,14,-1.387685239279116,0.5,0.5,9.572825162,0.04308294205227301
128,0.0,2.4,1.0,100.0,0.01,0.3584247787690459,0.3142979849364155,0.3210758311426032,0.6837005512019267,true,14,-1.384518311192241,0.5,0.5,9.562683003,0.04325892634991846
128,0.0,2.5,1.0,100.0,0.01,0.35490352616582055,0.3194107767788504,0.30639851181313293,0.6166368634107355,true,14,-1.3819243876418867,0.5,0.5,9.937953678,0.04341606786176426
128,0.0,2.6,1.0,100.0,0.01,0.35136932767647955,0.3241511371250766,0.49195064758222884,0.9975843492877612,true,13,-1.3798775721847047,0.5,0.5,9.977912892,0.043536923578891454
128,0.0,2.7,1.0,100.0,0.01,0.34778210045505864,0.32860875939840933,0.4698925008126409,0.9112074203770915,true,13,-1.3783831079198872,0.5,0.5,10.042394453,0.043664782963318105
