L,U,V,t,β,δ,uS,ud,wx,wy,QuS,Qud,Qwx,Qwy,Converged,I,f,g,g0,ΔT,μ
256,5.0,5.6,1.0,100.0,0.05,0.3458477180826358,NaN,0.0,0.0,1.5543122344752192e-12,534.1569546867079,2.5867145497932076e-7,2.5867145497932076e-7,false,400,NaN,0.05,0.05,1235.702696439,0.015121310685174829
256,5.0,6.0,1.0,100.0,0.05,0.32421579975334364,NaN,0.0,0.0,7.771561172376096e-13,598.2997056902304,2.5867145497932076e-7,2.5867145497932076e-7,false,400,NaN,0.05,0.05,1226.295706683,0.01522977125235512
256,5.0,6.4,1.0,100.0,0.05,0.3048570219683481,NaN,0.0,0.0,1.6653345369377348e-12,641.5832498242661,2.5867145497932076e-7,2.5867145497932076e-7,false,400,NaN,0.05,0.05,1225.914647257,0.015379880213321671
256,5.0,6.8,1.0,100.0,0.05,0.2875457594092026,NaN,0.0,0.0,1.7763568394002505e-12,672.7324357531357,2.5867145497932076e-7,2.5867145497932076e-7,false,400,NaN,0.05,0.05,1239.466986265,0.015570730918176566
256,5.0,7.2,1.0,100.0,0.05,0.27202117375414014,NaN,0.0,0.0,1.4432899320127035e-12,696.1346333197894,2.5867145497932076e-7,2.5867145497932076e-7,false,400,NaN,0.05,0.05,1272.671560788,0.0157935037937985
256,5.0,7.6,1.0,100.0,0.05,0.25804312509190436,NaN,0.0,0.0,1.5543122344752192e-12,714.2783446382848,2.5867145497932076e-7,2.5867145497932076e-7,false,400,NaN,0.05,0.05,1254.977216894,0.016040527613763306
256,5.0,8.0,1.0,100.0,0.05,0.2454036208734231,NaN,0.0,0.0,6.661338147750939e-13,728.6915080097149,2.5867145497932076e-7,2.5867145497932076e-7,false,400,NaN,0.05,0.05,1274.477162349,0.01630604272336591
256,10.0,4.0,1.0,100.0,0.05,0.40272966821072975,0.0,0.0,0.0,0.9728376394537719,1.5090155250102736e-15,0.328458614616758,0.328458614616758,true,126,-0.9829210496872541,0.05,0.05,441.324754474,0.03632028776970209
256,10.0,4.4,1.0,100.0,0.05,0.40184064579079665,2.7755575615628914e-17,0.0,0.0,0.9515695582903438,5.624146960965997e-14,0.3639430632872665,0.3639430632872665,true,124,-0.910702039292193,0.05,0.05,432.247805645,0.022763697025195866
256,10.0,4.8,1.0,100.0,0.05,0.39654748292743525,-9.049705429475807e-14,0.0,0.0,0.9195697075710108,1.8503279005970153e-10,0.9644616106539327,0.9644616106539327,true,105,-0.8402652745318886,0.05,0.05,367.938281076,0.011028208986189355
256,10.0,5.2,1.0,100.0,0.05,0.3697019224122885,NaN,0.0,0.0,4.440892098500626e-13,427.6816323459698,2.5867145497932076e-7,2.5867145497932076e-7,false,400,NaN,0.05,0.05,1394.060549216,0.014970477938734605
256,10.0,5.6,1.0,100.0,0.05,0.3458477180826358,NaN,0.0,0.0,1.5543122344752192e-12,534.1569546867079,2.5867145497932076e-7,2.5867145497932076e-7,false,400,NaN,0.05,0.05,1394.103082789,0.015121310685174829
256,10.0,6.0,1.0,100.0,0.05,0.32421579975334364,NaN,0.0,0.0,7.771561172376096e-13,598.2997056902304,2.5867145497932076e-7,2.5867145497932076e-7,false,400,NaN,0.05,0.05,1363.517859685,0.01522977125235512
256,10.0,6.4,1.0,100.0,0.05,0.3048570219683481,NaN,0.0,0.0,1.6653345369377348e-12,641.5832498242661,2.5867145497932076e-7,2.5867145497932076e-7,false,400,NaN,0.05,0.05,1384.832455332,0.015379880213321671
256,10.0,6.8,1.0,100.0,0.05,0.2875457594092026,NaN,0.0,0.0,1.7763568394002505e-12,672.7324357531357,2.5867145497932076e-7,2.5867145497932076e-7,false,400,NaN,0.05,0.05,1438.893269792,0.015570730918176566
256,10.0,7.2,1.0,100.0,0.05,0.27202117375414014,NaN,0.0,0.0,1.4432899320127035e-12,696.1346333197894,2.5867145497932076e-7,2.5867145497932076e-7,false,400,NaN,0.05,0.05,1433.946558868,0.0157935037937985
256,10.0,7.6,1.0,100.0,0.05,0.25804312509190436,NaN,0.0,0.0,1.5543122344752192e-12,714.2783446382848,2.5867145497932076e-7,2.5867145497932076e-7,false,400,NaN,0.05,0.05,1396.222668152,0.016040527613763306
256,10.0,8.0,1.0,100.0,0.05,0.2454036208734231,NaN,0.0,0.0,6.661338147750939e-13,728.6915080097149,2.5867145497932076e-7,2.5867145497932076e-7,false,400,NaN,0.05,0.05,1359.686582174,0.01630604272336591
256,0.0,4.0,1.0,100.0,0.1,0.3954229199786941,4.163336342344337e-17,0.0,0.0,0.9652894012717184,8.768277084582254e-14,0.328458614616758,0.328458614616758,true,126,-1.0109228639083963,0.05,0.05,451.126126573,0.09014597360877598
256,0.0,4.4,1.0,100.0,0.1,0.39487813974141384,-2.7755575615628914e-17,0.0,0.0,0.993559522159404,5.533326503969984e-14,0.3639430632872665,0.3639430632872665,true,124,-0.9287520684030528,0.05,0.05,433.76966465,0.05731937052163629
