L,U,V,t,β,δ,m,uS,vS,vd,Qm,QuS,QvS,Qvd,Converged,I,f,g,g0,ΔT,μ
128,0.5,3.2,1.0,100.0,0.0,NaN,0.378678202036221,NaN,0.2740009588266361,0.5456302853957267,0.0,3.999999999999905,-4.0,false,100,NaN,0.5,0.5,1.866251753,0.0
128,0.5,3.3,1.0,100.0,0.0,NaN,0.37599800177639475,NaN,0.2808991104973151,0.5471766674497647,0.0,4.430493273542603,-4.0,false,100,NaN,0.5,0.5,1.993840102,0.0
128,0.5,3.4,1.0,100.0,0.0,NaN,0.3731906761007219,NaN,0.2874900233056248,0.548400911973331,0.0,2.500000000000004,-4.0,false,100,NaN,0.5,0.5,2.095490026,0.0
128,0.5,3.5,1.0,100.0,0.0,NaN,0.37026212142646764,NaN,0.2937769191887941,0.5493398912644495,0.0,4.000000000000023,-4.0,false,100,NaN,0.5,0.5,1.92889473,0.0
128,0.5,3.6,1.0,100.0,0.0,NaN,0.3672191118600602,NaN,0.2997640556857789,0.5500386636539292,0.0,4.000000000000043,-4.0,false,100,NaN,0.5,0.5,1.817982213,0.0
128,0.5,3.7,1.0,100.0,0.0,NaN,0.364069207620332,NaN,0.30545670332059427,0.5505030401229706,0.0,4.000000000000001,-4.0,false,100,NaN,0.5,0.5,1.765129379,0.0
128,0.5,3.8,1.0,100.0,0.0,NaN,0.36082064448283646,NaN,0.31086110375209264,0.5507845276432722,0.0,2.500000000000002,-4.0,false,100,NaN,0.5,0.5,1.760670896,0.0
128,0.5,3.9,1.0,100.0,0.0,NaN,0.357482208282043,NaN,0.31598440828068974,0.5508907298489518,0.0,1.0,-4.0,false,100,NaN,0.5,0.5,1.794927236,0.0
128,0.5,4.0,1.0,100.0,0.0,NaN,0.3540630993070062,1.214306433183765e-17,0.32083459788984636,0.5508759817910464,0.0,-3.9999999999998734,-4.0,false,100,NaN,0.5,0.5,1.776739277,0.0
128,1.0,0.0,1.0,100.0,0.0,0.059869618813395364,0.4045392309123206,NaN,NaN,5.468719514877858e-9,2.3999623735829497e-11,1.0,1.0,false,100,NaN,0.5,0.5,1.789028032,0.0
128,1.0,0.1,1.0,100.0,0.0,0.06249432674205848,0.40445853780051877,NaN,NaN,4.042979551535109e-9,1.9774563795587888e-11,1.0206403348731428,1.204520701988966,false,100,NaN,0.5,0.5,1.725557285,0.0
128,1.0,0.2,1.0,100.0,0.0,0.06525514360981535,0.4043679703749268,NaN,NaN,2.8727199902242335e-9,1.567133639524022e-11,1.0421408375317263,2.75,false,100,NaN,0.5,0.5,1.726753789,0.0
128,1.0,0.3,1.0,100.0,0.0,0.06815895914965187,0.40426627265085935,NaN,0.0,1.941678554061858e-9,1.1823502259124313e-11,1.0645545233800218,-1.0,false,100,NaN,0.5,0.5,1.786733036,0.0
128,1.0,0.4,1.0,100.0,0.0,0.07121285797150728,0.4041520252289742,NaN,-1.2528584578557167e-52,1.2240992096858347e-9,8.326562283246668e-12,1.087938510465811,-2.0,false,100,NaN,0.5,0.5,1.801187978,0.0
128,1.0,0.5,1.0,100.0,0.0,0.07442415003156302,0.40402362232047284,NaN,-6.525304467998525e-54,6.896900172370342e-10,5.245497081447972e-12,1.1123543593968073,-4.0,false,100,NaN,0.5,0.5,1.782806701,0.0
128,1.0,0.6,1.0,100.0,0.0,0.07780040237225033,0.4038792453074388,NaN,NaN,3.070414347507179e-10,2.6131028506009575e-12,1.137868433220423,2.0,false,100,NaN,0.5,0.5,1.770469442,0.0
128,1.0,0.7,1.0,100.0,0.0,0.08134946716536925,0.4037168325231908,NaN,1.5293682346871542e-56,4.6047432746687586e-11,4.3890068596551344e-13,1.1645522744406962,-1.6,false,100,NaN,0.5,0.5,1.837210171,0.0
128,1.0,0.8,1.0,100.0,0.0,0.08507950024983883,0.4035340450126237,NaN,7.965459555662261e-58,1.2062654457988695e-10,1.288685480595535e-12,1.1924829945617474,-2.25,false,100,NaN,0.5,0.5,1.792413227,0.0
128,1.0,0.9,1.0,100.0,0.0,0.08899896401498808,0.4033282281350926,NaN,3.111140189782195e-45,2.1681239598211138e-10,2.5991934555308324e-12,1.221743669200331,-2.7348454857712423,false,100,NaN,0.5,0.5,1.784039409,0.0
128,1.0,1.0,1.0,100.0,0.0,0.09311660866504526,0.4030963690036238,NaN,1.106163851662692e-35,2.626648821272902e-10,3.536440596419375e-12,1.252423729944597,-2.9111312549530655,false,100,NaN,0.5,0.5,1.788989835,0.0
128,1.0,1.1,1.0,100.0,0.0,0.09744142652298121,0.40283504991963204,NaN,5.0808022779771625e-28,2.7500462058366085e-10,4.162147291097029e-12,1.6234398782343988,-3.083702842141376,false,100,NaN,0.5,0.5,1.73521152,0.0
128,1.0,1.2,1.0,100.0,0.0,0.10198254297250277,0.402540400321337,-1.8488927466117464e-32,3.893339564126454e-15,1.8335261732025111e-7,3.1222222343805395e-9,-0.18506081614434117,-3.2524467222551894,true,68,-1.4261158272172143,0.5,0.5,1.189040246,0.0
128,1.0,1.3,1.0,100.0,0.0,0.10674883635963947,0.4022080637757455,4.8467614016778965e-27,1.288461877638949e-9,2.40091829776627e-6,4.604359729542558e-8,-4.305030088792114,-3.4172545219598045,true,56,-1.4099250565962658,0.5,0.5,1.036937493,0.0
128,1.0,1.4,1.0,100.0,0.0,0.11174318415390097,0.4018335867880335,1.1911400820763599e-22,1.0228016905565138e-5,4.08547146844063e-5,8.828050879477369e-7,-69.68647010912645,-3.578132377448604,true,44,-1.3937627023026544,0.5,0.5,0.837863208,0.0
128,1.0,1.5,1.0,100.0,0.0,0.11692702028464423,0.40141522197914614,-1.6940658945086007e-21,0.001165745867834089,0.0003461885212240209,7.781373246873168e-6,-0.36750700072144277,-3.7358276359402467,true,40,-1.3776399956857355,0.5,0.5,0.70517932,0.0
128,1.0,1.6,1.0,100.0,0.0,0.12240595252667005,0.40093653785056604,0.0,0.004014134367880196,0.00019366285722742724,3.031703895440842e-6,-1.0,-3.887430318194941,true,70,-1.3616383319863736,0.5,0.5,1.377933459,0.0
128,1.0,1.7,1.0,100.0,0.0,NaN,0.4006786212529613,7.589415207398531e-19,0.06008447617781298,0.001047760421429116,8.772738004162756e-6,-82.5557712211935,-3.9954681704581483,false,100,NaN,0.5,0.5,1.869200321,0.0
128,1.0,1.8,1.0,100.0,0.0,0.08993607458768885,0.40070417534545133,-2.168404344971009e-19,0.11417773433610014,0.0004942069450661195,2.7621918760111255e-6,-0.895591029219006,-3.999684894999526,true,90,-1.4065490994471117,0.5,0.5,1.654347183,0.0
128,1.0,1.9,1.0,100.0,0.0,NaN,0.40038814154997115,2.168404344971009e-19,0.14235492086304352,0.0006413091521754634,2.0708720153932403e-6,-1.8681987959685726,-4.0001362664670435,false,100,NaN,0.5,0.5,1.870114401,0.0
128,1.0,2.0,1.0,100.0,0.0,NaN,0.39977375992617903,NaN,0.1611802933719847,0.002833466647649172,4.7713079166659406e-6,57.84432282301381,-4.0002256981761,false,100,NaN,0.5,0.5,1.810798211,0.0
128,1.0,2.1,1.0,100.0,0.0,NaN,0.39890494343311655,4.336808689942018e-19,0.1753828141213418,0.007088496753469607,5.639703118333011e-6,-1.3259838877548067,-4.000209429396844,false,100,NaN,0.5,0.5,1.801546818,0.0
128,1.0,2.2,1.0,100.0,0.0,NaN,0.397824376787698,NaN,0.18718468020851656,0.014127647399815034,4.836673181815189e-6,0.32601353015288226,-4.000146526435142,false,100,NaN,0.5,0.5,1.795223676,0.0
128,1.0,2.3,1.0,100.0,0.0,NaN,0.3965652716463347,NaN,0.1977301668178309,0.023759718415262573,3.2766475119357374e-6,2.1462822968607997,-4.00008228934286,false,100,NaN,0.5,0.5,1.775412276,0.0
128,1.0,2.4,1.0,100.0,0.0,NaN,0.3951491034639157,-1.734723475976807e-18,0.2075903432592825,0.034602440774722854,1.8908059037041382e-6,-9.958462093414719,-4.000039705361096,false,100,NaN,0.5,0.5,1.8199631,0.0
128,1.0,2.5,1.0,100.0,0.0,NaN,0.39358650639968984,NaN,0.21701446964389637,0.04523759396823309,1.0121709101851548e-6,1.0,-4.000017917141593,false,100,NaN,0.5,0.5,1.824168462,0.0
128,1.0,2.6,1.0,100.0,0.0,NaN,0.39188107375774944,8.673617379884035e-19,0.22609320565706242,0.05495324543379013,5.374265234010659e-7,-1.517654376499136,-4.000008089867944,false,100,NaN,0.5,0.5,1.739842225,0.0
128,1.0,2.7,1.0,100.0,0.0,NaN,0.39003338760213235,0.0,0.23485430522578465,0.06354433675381631,2.945562636429034e-7,-1.0,-4.0000038045333435,false,100,NaN,0.5,0.5,1.798684375,0.0
128,1.0,2.8,1.0,100.0,0.0,NaN,0.38804337482956697,NaN,0.24330459676517374,0.07101478192267449,1.700658191877763e-7,1.191513285054493,-4.000001901686327,false,100,NaN,0.5,0.5,1.748520171,0.0
128,1.0,2.9,1.0,100.0,0.0,NaN,0.38591132471372946,-8.673617379884035e-19,0.251444813223923,0.07743551234801795,1.0435506630142828e-7,-0.17386775685395603,-4.000001019092339,false,100,NaN,0.5,0.5,1.817477189,0.0
128,1.0,3.0,1.0,100.0,0.0,NaN,0.383638288520337,NaN,0.2592743627390024,0.08289409942550977,6.822959257817217e-8,3.9176375243762154,-4.000000586842423,false,100,NaN,0.5,0.5,1.785814973,0.0
128,1.0,3.1,1.0,100.0,0.0,NaN,0.38122624013124373,NaN,0.26679285430492283,0.08747875363012869,4.749099875821642e-8,4.279597248524946,-4.0000003626957845,false,100,NaN,0.5,0.5,1.781506303,0.0
