L,U,V,t,β,δ,m,uS,vS,vd,Qm,QuS,QvS,Qvd,Converged,I,f,g,g0,ΔT,μ
128,0.0,1.8,1.0,100.0,0.0,0.0,0.40520422491623803,-2.3549536815270268e-6,-7.940933880509066e-23,0.3120356838859201,0.9608746514470079,0.012920628406018127,1.6230392123953446e-19,true,127,-1.3256618388105597,0.05,0.05,2.848386118,0.0
128,0.0,1.9,1.0,100.0,0.0,0.0,0.40520101945964004,-1.8731390607698337e-6,2.6469779601696886e-23,0.3120356838859201,0.9615106664226936,0.009736529544521226,7.163074951332788e-20,true,127,-1.3092429256736,0.05,0.05,1.615903695,0.0
128,0.0,2.0,1.0,100.0,0.0,0.0,0.40519744162905313,-1.4585450159996005e-6,-1.3234889800848443e-23,0.3120356838859201,0.9621466198633799,0.0072026450967280845,3.5153347794271206e-20,true,127,-1.2928242880648109,0.05,0.05,2.456047,0.0
128,0.0,2.1,1.0,100.0,0.0,0.0,0.4051934356051534,-1.1100044425354718e-6,-3.970466940254533e-23,0.3120356838859201,0.9627783551643398,0.005220624715576085,8.043236225614857e-20,true,127,-1.27640595854203,0.05,0.05,2.467161088,0.0
128,0.0,2.2,1.0,100.0,0.0,0.0,0.40518893540209366,-8.240288126696589e-7,-2.6469779601696886e-23,0.3120356838859201,0.9634009233189245,0.003699578009170748,6.1506581899102e-20,true,127,-1.2599879746220306,0.05,0.05,2.690632067,0.0
128,0.0,2.3,1.0,100.0,0.0,0.0,0.4051838626651654,-5.953549660520643e-7,-1.3234889800848443e-23,0.3120356838859201,0.964008372044467,0.002556799427591788,2.528183075153012e-20,true,127,-1.2435703796987845,0.05,0.05,1.429920916,0.0
128,0.0,2.4,1.0,100.0,0.0,0.0,0.4051781238990507,-4.174923464655762e-7,-1.9852334701272664e-23,0.3120356838859201,0.9645934737476658,0.001718314111175533,4.2814852459274825e-20,true,127,-1.2271532241644771,0.05,0.05,2.360300909,0.0
128,0.0,2.5,1.0,100.0,0.0,0.0,0.4051716069491994,-2.8325023628946134e-7,-1.3234889800848443e-23,0.3120356838859201,0.9651473705547531,0.0011192140527772933,2.8342078807812335e-20,true,127,-1.2107365667869476,0.05,0.05,1.411766713,0.0
128,0.0,2.6,1.0,100.0,0.0,0.0,0.4051641764922579,-1.852237818766339e-7,3.308722450212111e-24,0.3120356838859201,0.9656591055917652,0.0007037604605761105,6.888540720953351e-21,true,127,-1.1943204764143762,0.05,0.05,2.360334474,0.0
128,0.0,2.7,1.0,100.0,0.0,0.0,0.40515566819524795,-1.1621831602655273e-7,-1.6543612251060553e-24,0.3120356838859201,0.9661149962907345,0.0004252379437950512,3.453109498230442e-21,true,127,-1.1779050341018693,0.05,0.05,1.449156481,0.0
128,0.0,2.8,1.0,100.0,0.0,0.0,0.40514588106206295,-6.95939897554637e-8,-1.6543612251060553e-24,0.3120356838859201,0.966497785129472,0.00024555907502035057,3.5888185308528424e-21,true,127,-1.1614903357880435,0.05,0.05,2.335263532,0.0
128,0.0,2.9,1.0,100.0,0.0,0.0,0.4051345672756318,-3.951721585239068e-8,-1.2407709188295415e-24,0.3120356838859201,0.9667854720615265,0.00013463356054992033,2.4802329995297573e-21,true,127,-1.1450764956974608,0.05,0.05,1.462331767,0.0
128,0.0,3.0,1.0,100.0,0.0,0.0,0.40512141852577044,-2.1111863221749146e-8,-6.203854594147708e-25,0.3120356838859201,0.966949684223728,6.953363555626454e-5,1.2905476848420176e-21,true,127,-1.128663650714012,0.05,0.05,2.294243633,0.0
128,0.0,3.1,1.0,100.0,0.0,0.0,0.40510604732233835,-1.0511153505937423e-8,2.0679515313825692e-25,0.3120356838859201,0.9669533613986259,3.350466526547188e-5,4.599335224364076e-22,true,127,-1.1122519660724173,0.05,0.05,1.488503731,0.0
128,0.0,3.2,1.0,100.0,0.0,0.0,0.4050879610239123,-4.820018491247351e-9,3.618915179919496e-25,0.3120356838859201,0.9667474109875673,1.4884873001941872e-5,7.522287174295258e-22,true,127,-1.0958416428682296,0.05,0.05,2.27639118,0.0
128,0.0,3.3,1.0,100.0,0.0,0.0,0.4050665250814406,-2.006075306896715e-9,-7.754818242684634e-26,0.3120356838859201,0.9662657807145703,6.007765845463022e-6,1.589578966089851e-22,true,127,-1.0794329281210222,0.05,0.05,1.508240143,0.0
128,0.0,3.4,1.0,100.0,0.0,0.0,0.40504090998615216,-7.438560803013982e-10,1.2924697071141057e-26,0.3120356838859201,0.9654180514252486,2.16235671718226e-6,2.7803836496061984e-23,true,127,-1.0630261284909,0.05,0.05,2.210683486,0.0
