L,U,V,t,β,δ,m,uS,ud,vS,Qm,QuS,Qud,QvS,I,f,g,g0,ΔT,μ
30,5.0,2.0,1.0,100.0,0.1,0.10635079189518058,-0.3853669735360851,0.002832533069737512,-3.62452038869444e-5,0.8476856851571263,0.9150506666534164,0.9714304349710663,0.03322274803287918,23,-2.9596514901364896,0.2,0.2,0.439269703,0.7834494041875905
30,5.5,1.0,1.0,100.0,0.1,0.18537486517198803,-0.36146485431318703,0.00024982200274395455,-2.054232073329775e-5,0.9689722802156298,0.014298128543355215,0.2202766957644802,0.03095004383241086,26,-2.6885173855258735,0.2,0.2,0.512065249,1.1012894936382776
30,5.5,1.2,1.0,100.0,0.1,0.1733501087314143,-0.3662796893675848,0.0007570165819010567,-5.880164901360792e-5,0.9995329448579393,0.5489541437979195,0.5315974109264068,0.07694506720169866,22,-2.7428919141010604,0.2,0.2,0.42615707,1.047739500014224
30,5.5,1.4,1.0,100.0,0.1,0.16401095332440668,-0.3696939882730566,0.0012796377735991022,-7.563786816583974e-5,0.7706702707766078,0.8795178166731588,0.7422203331977526,0.08853120505883993,21,-2.8105632681447488,0.2,0.2,0.414369601,1.0152907990641462
30,5.5,1.6,1.0,100.0,0.1,0.15553643126358344,-0.3725606661331132,0.001771039395150562,-7.299751006098182e-5,0.4701114862608047,0.9929451362019392,0.8698862455735584,0.07798813894312347,21,-2.884068844985942,0.2,0.2,0.411405746,0.9901223970367409
30,5.5,1.8,1.0,100.0,0.1,0.14730084682327332,-0.3751467984173466,0.002075867466548644,-5.211733792974047e-5,0.14895108563188209,0.8726270961739835,0.878483194564917,0.05159799951508859,22,-2.9610195288507994,0.2,0.2,0.427263952,0.9679360270994443
30,5.5,2.0,1.0,100.0,0.1,0.13882218799820226,-0.3776123285803404,0.002443634704368198,-3.647044802518379e-5,0.13555633008096035,0.776031251971554,0.9036224707431966,0.03382958905739744,23,-3.0395113582839834,0.2,0.2,0.44921041,0.9452590448109809
30,6.0,1.0,1.0,100.0,0.1,0.21612517724163768,-0.34675134211426933,0.00012566226852424303,-9.280170871588855e-6,0.9533699687791108,0.29388951395429297,0.12200052938259272,0.014425208567350337,29,-2.8420819959561823,0.2,0.2,0.579997989,1.3549237678808659
30,6.0,1.2,1.0,100.0,0.1,0.2060004473646283,-0.35200819939363964,0.0002759559570846338,-1.5198789265435625e-5,0.9906421906045015,0.16550050768012747,0.2151485440140685,0.020479120095172478,27,-2.891190013277396,0.2,0.2,1.190943917,1.3022297082211425
30,6.0,1.4,1.0,100.0,0.1,0.19588869084407362,-0.3568454943840033,0.0005719759544857297,-2.497919612508838e-5,0.9799817548893752,0.04423697548373573,0.36762976121913515,0.02998859573914051,25,-2.944718984534589,0.2,0.2,0.591371976,1.2520713824369831
30,6.0,1.6,1.0,100.0,0.1,0.18539939119390228,-0.3614567090191577,0.0013117407386339177,-5.495166522193137e-5,0.9927170532603669,0.522754866763564,0.7073125076880444,0.0599083178963011,22,-3.0004644126857216,0.2,0.2,0.457292441,1.2004840076192778
30,6.0,1.8,1.0,100.0,0.1,0.17664515134407546,-0.3650080863870554,0.0020765949092561103,-6.969307642680871e-5,0.8104962595586018,0.8480289736524482,0.9617136970238561,0.07014555791087107,21,-3.0664845679019277,0.2,0.2,0.400371543,1.165052837599121
30,6.0,2.0,1.0,100.0,0.1,0.16894552246812253,-0.36792305120439095,0.002401616916564397,-4.922481030954556e-5,0.4967585852484746,0.7487655853915198,0.9716968157947188,0.0463480174154291,22,-3.139643297924649,0.2,0.2,0.43038294,1.1399620510761024
