L,U,V,t,β,δ,uS,ud,QuS,Qud,Converged,I,f,g,g0,ΔT,μ
128,0.0,7.8,1.0,100.0,0.02,0.25169040926613406,NaN,4.440892098500626e-13,731.9324741042794,false,250,NaN,0.05,0.05,68.680407999,0.006477310625469423
128,0.0,7.9,1.0,100.0,0.02,0.24856991714638416,NaN,5.551115123125783e-14,735.2958611575735,false,250,NaN,0.05,0.05,67.018895025,0.006503057111865201
128,0.0,8.0,1.0,100.0,0.02,0.2455245441178957,NaN,7.216449660063518e-13,738.4830720212539,false,250,NaN,0.05,0.05,67.837803409,0.006529215595964861
128,0.0,4.0,1.0,100.0,0.03,0.4040383073679005,1.3877787807814457e-17,0.9728250955557405,2.9353590443298126e-14,true,126,-0.8089769917479999,0.05,0.05,34.656587145,0.020326925497800793
128,0.0,4.1,1.0,100.0,0.03,0.4039070289246799,2.7755575615628914e-17,0.9582171990548671,5.896589589464677e-14,true,126,-0.8088106858526612,0.05,0.05,34.539236019,0.01846948363686092
128,0.0,4.2,1.0,100.0,0.03,0.40372787770794427,-1.3877787807814457e-17,0.98685254423303,3.069812619238687e-14,true,125,-0.8085696179748807,0.05,0.05,34.483107334,0.01662123985877327
128,0.0,4.3,1.0,100.0,0.03,0.4034734792560907,1.3877787807814457e-17,0.9519488751156269,2.7207966572072088e-14,true,125,-0.8082069477497492,0.05,0.05,34.262561895,0.014773917317308687
128,0.0,4.4,1.0,100.0,0.03,0.4031002555762359,1.3877787807814457e-17,0.9984719525076846,2.893304063184752e-14,true,123,-0.8076461737876958,0.05,0.05,34.082234909,0.012946809469766427
128,0.0,4.5,1.0,100.0,0.03,0.4025208500592084,-8.326672684688674e-17,0.9506814873685432,1.7349750318091718e-13,true,122,-0.806730538752205,0.05,0.05,33.852159576,0.011135192337087041
128,0.0,4.6,1.0,100.0,0.03,0.4015865538736926,1.3877787807814457e-17,0.9866749388292018,3.046217386228958e-14,true,118,-0.8051860171164199,0.05,0.05,32.945769699,0.009385902996045064
128,0.0,4.7,1.0,100.0,0.03,0.40002159722986197,-3.0531133177191805e-16,0.9937835221273117,6.245934127955537e-13,true,112,-0.8024912151119845,0.05,0.05,31.011955774,0.007748385150660182
128,0.0,4.8,1.0,100.0,0.03,0.39744100451040704,1.7228843351979606e-11,0.956114889038906,3.5161311783034674e-8,true,103,-0.7978914592029824,0.05,0.05,28.555414421,0.006321773110596886
128,0.0,4.9,1.0,100.0,0.03,0.393584295178377,7.213653216431304e-8,0.9099086574082538,0.0001467481702446906,true,91,-0.7908323401484846,0.05,0.05,25.161956906,0.005204207668292735
128,0.0,5.0,1.0,100.0,0.03,0.3886300920787694,-1.5425468388730046e-8,0.9694568066935805,3.13095630953908e-5,true,78,-0.7816011575649934,0.05,0.05,21.694135336,0.004407141392780141
128,0.0,5.1,1.0,100.0,0.03,0.3828795339745322,-1.641355994175253e-7,0.8287454207389633,0.0003326229293470485,true,68,-0.7707329936418048,0.05,0.05,18.972441657,0.0038441000972930426
128,0.0,5.2,1.0,100.0,0.03,0.3768922237085025,7.636014501266608e-9,0.9956775752973934,1.5457145754889055e-5,true,59,-0.759355146886992,0.05,0.05,16.379133457,0.003451739546194153
128,0.0,5.3,1.0,100.0,0.03,0.3705960935035093,-1.0221210794414404e-8,0.7336845048194762,2.0672420653101064e-5,true,53,-0.7472553502971759,0.05,0.05,14.728582374,0.0031536893352798845
128,0.0,5.4,1.0,100.0,0.03,0.3643333474456385,8.54742538969333e-8,0.5474492495713967,0.00017275621577771358,true,48,-0.7351648060584146,0.05,0.05,13.364030505,0.0029272759062907634
128,0.0,5.5,1.0,100.0,0.03,0.3581254096183929,-2.169839833920939e-7,0.3158420047689736,0.0004383186340212539,true,44,-0.72311836582368,0.05,0.05,12.256665915,0.0027478992172901263
128,0.0,5.6,1.0,100.0,0.03,0.35218339379622443,1.386450680790352e-7,0.40287109048264824,0.0002799446948105412,true,40,-0.711621284504276,0.05,0.05,11.23441061,0.0026056659619803166
128,0.0,5.7,1.0,100.0,0.03,0.3461918857641764,1.821766320714291e-7,0.08946926885289308,0.00036769768579619446,true,37,-0.6998990960252783,0.05,0.05,10.314913236,0.0024837784932446043
128,0.0,5.8,1.0,100.0,0.03,0.3404977954085199,1.4724044060387964e-7,0.08844809592423175,0.00029708419770307795,true,34,-0.6888106177498242,0.05,0.05,9.444277562,0.002383369116582497
128,0.0,5.9,1.0,100.0,0.03,0.3353809856532292,1.5989971705460126e-6,0.9664558925783773,0.00322534039556492,true,33,-0.6791353435718781,0.05,0.05,9.200748916,0.00230338406043665
128,0.0,6.0,1.0,100.0,0.03,0.32928349216014585,-4.6283848061517974e-5,0.5137394353813551,0.09333271855954274,true,33,-0.6667394974390894,0.05,0.05,9.217965108,0.0022183907024071227
128,0.0,6.1,1.0,100.0,0.03,0.319284134060678,NaN,7.771561172376096e-13,621.6312982960513,false,250,NaN,0.05,0.05,70.598843223,0.009204940113486867
128,0.0,6.2,1.0,100.0,0.03,0.3143763217031536,NaN,9.992007221626409e-13,632.5027778145376,false,250,NaN,0.05,0.05,70.851961777,0.009222439258238287
128,0.0,6.3,1.0,100.0,0.03,0.3096047599460228,NaN,3.3306690738754696e-13,642.4616381665754,false,250,NaN,0.05,0.05,62.362763762,0.009242144659029644
128,0.0,6.4,1.0,100.0,0.03,0.3049654871707864,NaN,1.1102230246251565e-13,651.6162164091721,false,250,NaN,0.05,0.05,63.00446557,0.009263891109394956
