L,U,V,t,β,δ,m,uS,vx,vy,Qm,QuS,Qvx,Qvy,Converged,I,f,g,g0,ΔT,μ
128,0.0,1.0,1.0,100.0,0.0,0.0,0.4052209322686265,1.249270972987299e-9,1.2492709729872961e-9,0.1953125,0.602002379087474,4.292738278876583e-6,4.292738278876573e-6,true,11,-1.4570202958209333,0.5,0.5,0.139536801,0.0
128,0.0,1.1,1.0,100.0,0.0,0.0,0.4052194618844508,6.873698332165072e-8,6.873698332165076e-8,0.1953125,0.6029110928253978,0.00022559981890018786,0.000225599818900188,true,11,-1.4405999550692907,0.5,0.5,0.123467818,0.0
128,0.0,1.2,1.0,100.0,0.0,0.0,0.4052178547872155,9.987343089621005e-7,9.98734308962101e-7,0.1953125,0.6038677439352824,0.003149356897706644,0.0031493568977066454,true,11,-1.4241797391096662,0.5,0.5,0.123974311,0.0
128,0.0,1.3,1.0,100.0,0.0,0.0,0.4052160942263039,7.893781446996702e-6,7.893781446996712e-6,0.1953125,0.604879639755973,0.024029887770145236,0.024029887770145267,true,11,-1.4077596601663431,0.5,0.5,0.17057543,0.0
128,0.0,1.4,1.0,100.0,0.0,0.0,0.4052141604126279,4.266267425557235e-5,4.266267425557228e-5,0.1953125,0.6059694009508121,0.12586784088806718,0.12586784088806702,true,11,-1.391339745897452,0.5,0.5,0.355594882,0.0
128,0.0,1.5,1.0,100.0,0.0,0.0,0.40521202247091304,0.00017539947265277637,0.00017539947265277666,0.1953125,0.6072109930490566,0.5031750597712052,0.5031750597712061,true,11,-1.3749202699737366,0.5,0.5,0.354663042,0.0
128,0.0,1.6,1.0,100.0,0.0,0.0,0.4052096249385606,0.0003280730569727318,0.0003280730569727321,0.048828125,0.15227120542160577,0.9176200265918214,0.9176200265918223,true,13,-1.3585015904541244,0.5,0.5,0.203019728,0.0
128,0.0,1.7,1.0,100.0,0.0,0.0,0.4052070083178113,0.0003467388580563664,0.0003467388580563666,0.00019073486328125,0.0006814768527263482,0.9478218106599092,0.9478218106599098,true,21,-1.3420825222114237,0.5,0.5,0.230780184,0.0
128,0.0,1.8,1.0,100.0,0.0,0.0,0.4052041113541287,-0.0003706382743150809,-0.000370638274315081,5.0487097934144756e-27,9.639286702167738e-6,0.9921812775689831,0.9921812775689833,true,96,-1.3256637940685185,0.5,0.5,1.871316773,0.0
128,0.0,1.9,1.0,100.0,0.0,0.0,0.4051434655887042,NaN,NaN,3.155443620884047e-28,5.012184001174091e-7,32.045599412855424,32.04559941286993,false,100,NaN,0.5,0.5,1.489644334,0.0
128,0.0,2.0,1.0,100.0,0.0,0.0,0.40501569821882943,NaN,NaN,3.155443620884047e-28,1.9984014443252818e-12,53.523535698541025,53.523536335865174,false,100,NaN,0.5,0.5,1.849589144,0.0
128,0.0,2.1,1.0,100.0,0.0,0.0,0.40479846172206424,NaN,NaN,3.155443620884047e-28,7.85551168558385e-6,74.5232689439061,75.18864371057215,false,100,NaN,0.5,0.5,1.313972656,0.0
128,0.0,2.2,1.0,100.0,0.0,0.0,NaN,NaN,NaN,3.155443620884047e-28,0.32976900343517634,12.818577186050796,181.09255455302457,false,100,NaN,0.5,0.5,1.097274418,0.0
128,0.0,2.3,1.0,100.0,0.0,0.0,0.40281749474172546,NaN,NaN,3.155443620884047e-28,4.473102788171701e-5,0.0012707765458085955,238.50202340454175,false,100,NaN,0.5,0.5,2.387293628,0.0
128,0.0,2.4,1.0,100.0,0.0,0.0,0.4015124289774612,4.3533176873230033e-10,NaN,3.155443620884047e-28,2.0883184070896732e-8,1.2776920461658865e-6,286.4446723757338,false,100,NaN,0.5,0.5,1.35220524,0.0
128,0.0,2.5,1.0,100.0,0.0,0.0,0.39980730735783176,1.8713517960848046e-13,NaN,3.155443620884047e-28,4.551914400963142e-12,5.53701830498475e-10,335.28585628739296,false,100,NaN,0.5,0.5,1.184101429,0.0
