x,y1,y2,y3,y4
-0.9,0.600725336546394,2.4754881242372697,4.286733647426043,6.240290134618558
-0.89,0.6312041729754204,2.471939591163915,4.273519972502475,6.227526452777346
-0.88,0.6604408344690671,2.4683539480060688,4.260646567783187,6.214093098842359
-0.87,0.6885839372235717,2.464752021880542,4.248121200601633,6.199860110408869
-0.86,0.7157530737553219,2.4611554458634175,4.235950391350582,6.184648001678945
-0.85,0.7420460103841195,2.4575866823996844,4.2241394450428595,6.168197055322223
-0.84,0.767543746614303,2.454069032566369,4.212692486657075,6.150106796144527
-0.83,0.7923141642608623,2.450626634515963,4.201612499922192,6.129700184467913
-0.82,0.816414718444455,2.4472844529900546,4.190901369189379,6.105651887607264
-0.81,0.8398944607460236,2.4440682609662483,4.180559924036676,6.074527629115666
-0.8,0.8627955863282888,2.4410046140100015,4.1705879862515465,6.0
-0.79,0.8851546349845051,2.43812081760408,4.160984418838187,6.0
-0.78,0.907003436147581,2.4354448875445667,4.151747176700477,6.0
-0.77,0.9283698614777411,2.4330055033801643,4.1428733586574324,6.0
-0.76,0.9492784307857429,2.4308319548058357,4.134359260455891,6.0
-0.75,0.9697508047322184,2.428954080887557,4.126200428454617,6.0
-0.74,0.9898061890990032,2.4274022019829644,4.118391713665031,6.0
-0.73,1.0094616692624228,2.426207044227262,4.110927325845998,6.0
-0.72,1.0287324890356986,2.425399656471241,4.103800887363432,6.0
-0.71,1.04763228477386,2.425011319586188,4.097005486539699,6.0
-0.7,1.0661732832031516,2.4250734480872667,4.090533730232698,6.0
-0.69,1.0843664696105384,2.4256174840713816,4.0843777954000045,6.0
-0.68,1.1022217316423846,2.426674783516735,4.0785294794194265,6.0
-0.67,1.1197479828985015,2.4282764950485136,4.072980248953836,6.0
-0.66,1.1369532696854705,2.430453431337763,4.0677212871654085,6.0
-0.65,1.1538448636516214,2.433235933367893,4.062743539102931,6.0
-0.64,1.1704293425215018,2.43665372787483,4.058037755106501,6.0
-0.63,1.1867126607479166,2.4407357783419164,4.0535945320984075,6.0
-0.62,1.2027002115806953,2.445510130008639,4.049404352659482,6.0
-0.61,1.218396881795144,2.451003749432378,4.045457621830549,6.0
-0.6,1.2338071001161581,2.4572423592238883,4.041744701633702,6.0
-0.59,1.248934880205664,2.4642502686593133,4.038255943385196,6.0
-0.58,1.263783858943511,2.4720502009533156,4.0349817179796235,6.0
-0.57,1.2783573306189033,2.480663118058513,4.031912444474618,6.0
-0.56,1.2926582775561029,2.490108043934823,4.029038617507886,6.0
-0.55,1.3066893976206977,2.500401887307595,4.0263508343423675,6.0
-0.54,1.3204531289881514,2.511559265004493,4.023839822659636,6.0
-0.53,1.3339516725023317,2.5235923270269773,4.02149647057981,6.0
-0.52,1.347187011906275,2.536510584571831,4.019311860696936,6.0
-0.51,1.3601609321891315,2.5503207422704754,4.017277309982721,6.0
-0.5,1.3728750362607653,2.56502653595774,4.015384416779931,6.0
-0.49,1.3853307601379021,2.5806285773163404,4.013625113792806,6.0
-0.48,1.3975293868021696,2.5971242067675155,4.011991719783622,6.0
-0.47,1.4094720588702594,2.6145073559912135,4.010476967485524,6.0
-0.46,1.4211597901991317,2.6327684214599585,4.009073948326336,6.0
-0.45,1.4325934765343193,2.651894150358291,4.007775821183446,6.0
-0.44,1.4437739052965255,2.6718675402336496,4.006574874607425,6.0
-0.43,1.4547017645905829,2.692667753684069,4.0054597093484015,6.0
-0.42,1.4653776515111852,2.7142700493324843,4.0044059922190876,6.0
-0.41,1.4758020798113864,2.7366457302661273,4.003335842940311,6.0
-0.4,1.4859754869925201,2.7597621110319155,4.001177887942052,6.0
-0.39,1.4958982408677801,2.7835825041743325,4.001681210826584,6.0
-0.38,1.5055706456460616,2.808066227180351,4.0023779924482605,6.0
-0.37,1.5149929475777182,2.8331686305557837,4.003333269809309,6.0
-0.36,1.5241653401995412,2.8588411475978757,4.004630242996746,6.0
-0.35,1.5330879692123978,2.8850313662485982,4.0063739982726405,6.0
-0.34,1.5417609370215914,2.911683123209639,4.008695536590887,6.0
-0.33,1.5501843069669667,2.938736620270218,4.011755970498606,6.0
-0.32,1.5583581072671215,2.9661285625375102,4.015750688333671,6.0
-0.31,1.5662823346996946,2.993792317958848,4.02091321316494,6.0
-0.3,1.5739569580375832,3.021658097173143,4.027518409347563,6.0
-0.29,1.5813819212590443,3.0496531523077355,4.035884617730375,6.0
-0.28,1.5885571465479342,3.0777019928175573,4.046374239055908,6.0
-0.27,1.5954825370988286,3.1057266158008634,4.059392243027299,6.0
-0.26,1.6021579797403975,3.133646747347684,4.075382067932882,6.0
-0.25,1.608583347389174,3.161380090265347,4.094818402812197,6.0
-0.24,1.6147585013447687,3.1888425717831046,4.1181964201598085,6.0
-0.23,1.6206832934365674,3.2159485822273566,4.146017159083783,6.0
-0.22,1.6263575680310485,3.2426111915839906,4.178768949987648,6.0
-0.21,1.6317811639080602,3.2687423242338247,4.216905020527597,6.0
-0.2,1.6369539160136253,3.294252860881163,4.26081772096299,6.0
-0.19,1.6418756570961945,3.319052616636393,4.310810140396365,6.0
-0.18,1.6465462192326474,3.3430501065705074,4.367066232256833,6.0
-0.17,1.650965435249769,3.366151934961655,4.429620900088587,6.0
-0.16,1.6551331400464377,3.3882614831844062,4.498331781182911,6.0
-0.15,1.659049171821291,3.409276191593578,4.572854671816334,6.0
-0.14,1.6627133732101722,3.4290817243442424,4.652624631106313,6.0
-0.13,1.666125592337322,3.4475381660205517,4.7368447530459425,6.0
-0.12,1.6692856837838566,3.464440915919928,4.824484389195584,6.0
-0.11,1.6721935094767768,3.4793630539237577,4.914288231065088,6.0
-0.1,1.6748489395014188,3.4882146972497985,5.004797129465942,6.0
-0.09,1.677251852839966,3.5043334920563654,5.094380862149775,6.0
-0.08,1.6794021380383815,3.51890113685854,5.1812823006666795,6.0
-0.07,1.6812996938038443,3.5318701860007224,5.263671625877117,6.0
-0.06,1.6829444295345517,3.543198149008086,5.339708461812718,6.0
-0.05,1.684336265783508,3.552847720071313,5.407609106627344,6.0
-0.04,1.6854751346577135,3.5607869805746537,5.465715501958185,6.0
-0.03,1.6863609801539465,3.5669895731407726,5.512562253865033,6.0
-0.02,1.686993758432155,3.5714348458747107,5.546937940088386,6.0
-0.01,1.6873734380272605,3.574107965710974,5.567937129799127,6.0
0.0,NaN,3.575,5.575,NaN
0.01,1.6873734380272605,3.574107965710974,5.567937129799127,6.0
0.02,1.686993758432155,3.5714348458747107,5.546937940088386,6.0
0.03,1.6863609801539465,3.5669895731407726,5.512562253865033,6.0
0.04,1.6854751346577135,3.5607869805746537,5.465715501958185,6.0
0.05,1.684336265783508,3.552847720071313,5.407609106627344,6.0
0.06,1.6829444295345517,3.543198149008086,5.339708461812718,6.0
0.07,1.6812996938038443,3.5318701860007224,5.263671625877117,6.0
0.08,1.6794021380383815,3.51890113685854,5.1812823006666795,6.0
0.09,1.677251852839966,3.5043334920563654,5.094380862149775,6.0
0.1,1.6748489395014188,3.4882146972497985,5.004797129465942,6.0
0.11,1.6721935094767768,3.4793630539237577,4.914288231065088,6.0
0.12,1.6692856837838566,3.464440915919928,4.824484389195584,6.0
0.13,1.666125592337322,3.4475381660205517,4.7368447530459425,6.0
0.14,1.6627133732101722,3.4290817243442424,4.652624631106313,6.0
0.15,1.659049171821291,3.409276191593578,4.572854671816334,6.0
0.16,1.6551331400464377,3.3882614831844062,4.498331781182911,6.0
0.17,1.650965435249769,3.366151934961655,4.429620900088587,6.0
0.18,1.6465462192326474,3.3430501065705074,4.367066232256833,6.0
0.19,1.6418756570961945,3.319052616636393,4.310810140396365,6.0
0.2,1.6369539160136253,3.294252860881163,4.26081772096299,6.0
0.21,1.6317811639080602,3.2687423242338247,4.216905020527597,6.0
0.22,1.6263575680310485,3.2426111915839906,4.178768949987648,6.0
0.23,1.6206832934365674,3.2159485822273566,4.146017159083783,6.0
0.24,1.6147585013447687,3.1888425717831046,4.1181964201598085,6.0
0.25,1.608583347389174,3.161380090265347,4.094818402812197,6.0
0.26,1.6021579797403975,3.133646747347684,4.075382067932882,6.0
0.27,1.5954825370988286,3.1057266158008634,4.059392243027299,6.0
0.28,1.5885571465479342,3.0777019928175573,4.046374239055908,6.0
0.29,1.5813819212590443,3.0496531523077355,4.035884617730375,6.0
0.3,1.5739569580375832,3.021658097173143,4.027518409347563,6.0
0.31,1.5662823346996946,2.993792317958848,4.02091321316494,6.0
0.32,1.5583581072671215,2.9661285625375102,4.015750688333671,6.0
0.33,1.5501843069669667,2.938736620270218,4.011755970498606,6.0
0.34,1.5417609370215914,2.911683123209639,4.008695536590887,6.0
0.35,1.5330879692123978,2.8850313662485982,4.0063739982726405,6.0
0.36,1.5241653401995412,2.8588411475978757,4.004630242996746,6.0
