L,U,V,t,β,δ,uS,ud,wx,wy,QuS,Qud,Qwx,Qwy,Converged,I,f,g,g0,ΔT,μ,Layer
256,0.0,2.4,1.0,100.0,0.35,0.2346942900947207,-1.700789006964243e-5,0.0,0.0,0.8188595402899845,0.31442392793349266,0.6044629098073154,0.6044629098073154,true,27,-2.2298046803270832,0.2,0.2,148.064794703,1.6742691831913394,0
256,0.0,2.4,1.0,100.0,0.4,0.1701856101386378,-1.701993744512853e-5,0.0,0.0,0.6662407628602041,0.7457591230726706,0.9444732965739303,0.9444732965739303,true,25,-2.6461034576043976,0.2,0.2,98.897112153,2.2608832386515805,0
256,0.0,2.4,1.0,100.0,0.45,0.09234071264609936,-4.670273439727479e-6,0.0,0.0,0.07148503922874139,0.8954579109673371,0.9444732965739303,0.9444732965739303,true,25,-3.2176057328761822,0.2,0.2,93.289264036,3.019624750354578,0
256,0.0,2.8,1.0,100.0,0.0,0.4051517197164818,-1.887379141862766e-15,0.0,0.0,0.9527335942410842,4.393836600865603e-12,0.3094850098213456,0.3094850098213456,true,30,-1.1614923290843968,0.2,0.2,2.536671766,0.0,0
256,0.0,2.8,1.0,100.0,0.05,0.40314218432423876,-4.163336342344337e-17,0.0,0.0,0.9485319862249098,9.196992811865988e-14,0.3094850098213456,0.3094850098213456,true,30,-1.2012592905982797,0.2,0.2,108.015920673,0.07892837483829368,0
256,0.0,2.8,1.0,100.0,0.1,0.39569367077642503,-3.351138810891996e-12,0.0,0.0,0.9264590649011861,9.917164791606557e-9,0.3094850098213456,0.3094850098213456,true,30,-1.2591077108348874,0.2,0.2,156.980899788,0.1907788138923345,0
256,0.0,2.8,1.0,100.0,0.15,0.3814579056200658,-4.2789390364283975e-9,0.0,0.0,0.8811141005772294,1.4762853858420692e-5,0.3094850098213456,0.3094850098213456,true,30,-1.3374062209596407,0.2,0.2,195.447273087,0.33658473779467984,0
256,0.0,2.8,1.0,100.0,0.2,0.35930754043273305,-1.9194748948625495e-7,0.0,0.0,0.8113394240893967,0.0008149055261373446,0.3094850098213456,0.3094850098213456,true,30,-1.4448851966039875,0.2,0.2,159.219335031,0.5270802885417198,0
256,0.0,2.8,1.0,100.0,0.25,0.32817135880218884,-2.4778847976247853e-6,0.0,0.0,0.8918756703187869,0.01407313818843849,0.38685626227668196,0.38685626227668196,true,29,-1.595699348885661,0.2,0.2,276.751481402,0.7792165618062371,0
256,0.0,2.8,1.0,100.0,0.3,0.2869896388120533,-9.960138528858353e-6,0.0,0.0,0.9127826208672474,0.0851860115245042,0.4835703278458524,0.4835703278458524,true,28,-1.8099014005987293,0.2,0.2,240.249331287,1.115544514735045,0
