L,U,V,t,β,δ,uS,wd,QuS,Qwd,I,f,g,g0,ΔT,μ
128,0.0,2.4,1.0,100.0,0.0,0.6159989918396946,0.36257560578547576,0.46475522438749195,0.7766151452113235,12,-1.5475091599601845,0.5,0.5,0.169707234,0.0
128,0.0,2.5,1.0,100.0,0.0,0.6019952682759019,0.36656050244014293,0.3875394609220706,0.7176076313012425,12,-1.5399116526373913,0.5,0.5,0.157666362,0.0
128,0.0,2.6,1.0,100.0,0.0,0.5882195153101684,0.3701014565443683,0.3286249934255636,0.67195878359394,12,-1.5325788883805713,0.5,0.5,0.155933857,0.0
128,0.0,2.7,1.0,100.0,0.0,0.574717518055096,0.3732508296209188,0.2827433898318077,0.6356954025802386,12,-1.525593388486715,0.5,0.5,0.161629067,0.0
128,0.0,2.8,1.0,100.0,0.0,0.5615248339492543,0.3760552782159864,0.24624300831033175,0.6062188048481243,12,-1.5190235800890661,0.5,0.5,0.161009226,0.0
128,0.0,2.9,1.0,100.0,0.0,0.5486678971801188,0.37855615130412434,0.21669177731786782,0.5818626065110521,12,-1.5129243704576103,0.5,0.5,0.158647403,0.0
128,0.0,3.0,1.0,100.0,0.0,0.5361652469184041,0.38078992365636194,0.19248411052563696,0.5616873977331016,12,-1.5073382416778924,0.5,0.5,0.154278503,0.0
128,0.0,3.1,1.0,100.0,0.0,0.5240287412626149,0.38278865226476233,0.1726027896842286,0.5454802470844511,12,-1.5022965941423803,0.5,0.5,0.163699307,0.0
128,0.0,3.2,1.0,100.0,0.0,0.5122647047915101,0.38458043232592626,0.15642013008188016,0.5338097735156921,12,-1.4978211983417722,0.5,0.5,0.159152378,0.0
128,0.0,3.3,1.0,100.0,0.0,0.5008751469087467,0.3861898133278333,0.14289593885030705,0.5278687970194929,12,-1.4939259318987559,0.5,0.5,0.156576944,0.0
128,0.0,3.4,1.0,100.0,0.0,0.48985985394522635,0.38763807171657183,0.12656995141901994,0.5286495294405391,12,-1.4906201115513715,0.5,0.5,0.15448143,0.0
128,0.0,3.5,1.0,100.0,0.0,0.47922128246006196,0.38894315936460516,0.0847435157743659,0.5348776170831515,12,-1.487916696500325,0.5,0.5,0.160017149,0.0
128,0.0,3.6,1.0,100.0,0.0,0.46897432240242887,0.3901192295290833,0.049205284303299734,0.5395802045653486,12,-1.4858490432662461,0.5,0.5,0.158348801,0.0
128,0.0,3.7,1.0,100.0,0.0,0.4591617367228922,0.3911758324747223,0.42702795617644007,0.526044445388063,12,-1.4844979600255641,0.5,0.5,0.15762209,0.0
128,0.0,3.8,1.0,100.0,0.0,0.44913780067383857,0.39218928701382205,0.8101856136526475,0.3776348960731202,13,-1.4827692044329526,0.5,0.5,0.165600341,0.0
128,0.0,3.9,1.0,100.0,0.0,0.43989612439952797,0.39306817177899545,0.6914774056191453,0.14153387134308026,15,-1.4823587672109522,0.5,0.5,0.202001641,0.0
128,0.0,4.0,1.0,100.0,0.0,0.43088767459953026,0.39387657890577477,0.8635186703893627,0.09627825535729606,17,-1.482337315176662,0.5,0.5,0.228378825,0.0
128,0.5,0.0,1.0,100.0,0.0,0.8104611861692472,0.0,0.6938097521183018,0.09765625,12,-1.6212287122694495,0.5,0.5,0.156618743,0.0
128,0.5,0.1,1.0,100.0,0.0,0.8104583873589926,0.0002539416474993776,0.34720510714336683,0.9985424784586358,13,-1.6212285916989775,0.5,0.5,0.167578728,0.0
