L,U,V,t,β,δ,uS,wS,ws,QuS,QwS,Qws,I,f,g,g0,ΔT,μ
128,0.0,3.6,1.0,100.0,0.0,0.37037100934554734,0.3604244568843187,4.163336342344337e-17,0.43445706293954167,0.8493097668245131,0.0976562500001568,12,-1.676421343135352,0.5,0.5,0.160991988,0.0
128,0.0,3.7,1.0,100.0,0.0,0.3603613730410898,0.36295436119919655,1.457167719820518e-16,0.3795228725145261,0.7706272802989744,0.09765624999983673,12,-1.6959203909540448,0.5,0.5,0.162941871,0.0
128,0.0,3.8,1.0,100.0,0.0,0.350878571146807,0.3652716278630427,1.3877787807814457e-16,0.3253380932386474,0.6859751368539779,0.09765624999975635,12,-1.7161218313638327,0.5,0.5,0.147270081,0.0
128,0.0,3.9,1.0,100.0,0.0,0.34188188261123653,0.36739997163661486,2.7755575615628914e-17,0.27904339696838143,0.6096768205233749,0.09765624999994145,12,-1.7369715005420707,0.5,0.5,0.146034553,0.0
128,0.0,4.0,1.0,100.0,0.0,0.3333345768354005,0.3693598429789471,2.0816681711721685e-17,0.24671280639465554,0.5550201451878234,0.09765625000016973,12,-1.7584205971986167,0.5,0.5,0.155662011,0.0
128,0.5,0.0,1.0,100.0,0.0,0.8104611861692472,4.0389678347315804e-28,-3.305116675352275e-11,0.6949249855727757,0.09765625,1.5612601917175662e-7,12,-1.6212287122694495,0.5,0.5,0.16392959,0.0
128,0.5,0.1,1.0,100.0,0.0,0.8104583941274848,1.2955309989985993e-6,-1.6701307997081406e-11,0.6949308884782734,0.12011034421545816,7.768686760415643e-8,12,-1.6212285965220254,0.5,0.5,0.156323737,0.0
128,0.5,0.2,1.0,100.0,0.0,0.8104551696176243,3.4390463749616034e-6,-7.540213014209406e-12,0.6949797404343094,0.14910569046248207,3.4517453181851984e-8,12,-1.6212282014885229,0.5,0.5,0.146320725,0.0
128,0.5,0.3,1.0,100.0,0.0,0.8104514211635787,6.948921874601117e-6,-2.937865594363902e-12,0.6950850704219302,0.18696205336515007,1.3227516041076448e-8,12,-1.6212274384289227,0.5,0.5,0.149163735,0.0
128,0.5,0.4,1.0,100.0,0.0,0.8104470325275647,1.2686046931051486e-5,-9.372736540155937e-13,0.6952680203911044,0.2369684344316652,4.147817152491993e-9,12,-1.6212261893027304,0.5,0.5,0.157471251,0.0
128,0.5,0.5,1.0,100.0,0.0,0.8104418544961507,2.2107474089530217e-5,-2.2482088415866526e-13,0.6955630426073167,0.30384586451719403,9.772211239301618e-10,12,-1.6212242957317695,0.5,0.5,0.16445901,0.0
128,0.5,0.6,1.0,100.0,0.0,0.810435693315,3.773310492402407e-5,-3.4807667849640154e-14,0.6960289419142285,0.39445333498584917,1.4849403123280572e-10,12,-1.6212215431400196,0.5,0.5,0.150760498,0.0
128,0.5,0.7,1.0,100.0,0.0,0.810428293877008,6.4029234875988e-5,-2.5313969263850503e-15,0.6967713156882382,0.5188679781662378,1.0590679097317434e-11,12,-1.62121763747219,0.5,0.5,0.144192634,0.0
128,0.5,0.8,1.0,100.0,0.0,0.8104193138735913,0.00010913535822064407,-3.5975183335784644e-17,0.6979904951840421,0.6920288185632189,1.4747521238055172e-13,12,-1.6212121697983615,0.5,0.5,0.153551769,0.0
128,0.5,0.9,1.0,100.0,0.0,0.8104082797876175,0.00018836099739707053,-2.371692252312041e-20,0.7000894250241974,0.9361797794916015,8.046812998915853e-17,12,-1.6212045589363426,0.5,0.5,0.168982625,0.0
128,0.5,1.0,1.0,100.0,0.0,0.810394614338624,0.00022225939055442326,6.098637220230962e-20,0.35219746659520546,0.8607224084827749,1.190081290892292e-16,13,-1.6211940203582866,0.5,0.5,0.172503357,0.0
128,0.5,1.1,1.0,100.0,0.0,0.8103774297024433,0.0002945697187509551,-8.131516293641283e-20,0.17866769508634306,0.8763257121171171,4.1462262768098e-16,14,-1.6211793812085968,0.5,0.5,0.170134353,0.0
128,0.5,1.2,1.0,100.0,0.0,0.8103554198608062,0.00044794420708723937,-5.285485590866834e-19,0.09313715290670821,0.997604308612674,1.961516547604146e-15,15,-1.6211588819937404,0.5,0.5,0.18933672,0.0
128,0.5,1.3,1.0,100.0,0.0,0.8103269068863851,0.0006238754308960111,-2.778268066994105e-18,0.028211000532296637,0.9946730450967409,1.0364295142603619e-14,17,-1.6211300603819374,0.5,0.5,0.226805005,0.0
