L,U,V,t,β,δ,uS,wS,wd,ws,QuS,QwS,Qwd,Qws,I,f,g,g0,ΔT,μ
128,1.0,0.2,1.0,100.0,0.0,0.8104550702328821,2.698410727484352e-9,0.0009980100203843766,1.194438428372968e-15,0.0005942420508997515,0.00011698959690599242,0.8868349449665494,3.92865516555349e-12,23,-1.6212281241097808,0.5,0.5,0.329662658,0.0
128,1.0,0.3,1.0,100.0,0.0,0.8103597054838563,1.080385204232535e-9,0.028750957518635073,-8.673617379884035e-19,0.006958196768991343,2.9076928879529372e-5,0.9522636893773695,2.042559774914182e-15,26,-1.6212111822810913,0.5,0.5,0.386774281,0.0
128,1.0,0.4,1.0,100.0,0.0,0.809719452055331,1.2617522011256518e-5,0.06628654938234661,0.0,0.6906595306366281,0.2363616656377812,0.18629021729493767,2.9544509200229996e-15,12,-1.6212755607012155,0.5,0.5,0.168600715,0.0
128,1.0,0.5,1.0,100.0,0.0,0.8084389074036213,3.891884010495889e-6,0.09551735821011142,-4.440892098500626e-16,0.029813107492060453,0.05390916696080617,0.9832124917824314,2.008631061229272e-12,15,-1.6214765157019058,0.5,0.5,0.216957443,0.0
128,1.0,0.6,1.0,100.0,0.0,0.8062608762902386,2.385803359030488e-6,0.12371569892576154,-2.14064876935538e-15,0.05788920935922981,0.02536508719379708,0.8287272343603935,1.04299831829379e-11,17,-1.6217281315209684,0.5,0.5,0.250184338,0.0
128,1.0,0.7,1.0,100.0,0.0,0.803094378090554,4.570770594708017e-6,0.15004034677288977,-5.5549315147729317e-14,0.11044435325757718,0.038213675027678286,0.9229198778457071,2.9028983772707347e-10,17,-1.6219635419773217,0.5,0.5,0.243237846,0.0
128,1.0,0.8,1.0,100.0,0.0,0.7988516848699778,8.733696697550263e-6,0.17446892820806137,-4.4018261258216285e-13,0.1619032983806168,0.05836379221541849,0.914765943699769,2.437517678849268e-9,17,-1.6220672784785595,0.5,0.5,0.249498359,0.0
128,1.0,0.9,1.0,100.0,0.0,0.7934973289893394,1.6704970911174573e-5,0.19694124449189532,-1.87078130764462e-12,0.20452201092657774,0.09020321243565166,0.8404930642904596,1.0899756958024479e-8,17,-1.6219118027988415,0.5,0.5,0.252870432,0.0
128,1.0,1.0,1.0,100.0,0.0,0.7870246612593172,3.204489151629932e-5,0.21750100674920608,-5.4684798356241515e-12,0.2334275502804406,0.1407668069003692,0.7311048742554282,3.331946791439722e-8,17,-1.6213641989708376,0.5,0.5,0.244858382,0.0
128,1.0,1.1,1.0,100.0,0.0,0.7794824477481994,9.086933810822755e-5,0.2361679303863941,-4.643638945589501e-11,0.3641203874216181,0.3257497579621832,0.9341848044797096,2.942427784210487e-7,16,-1.6203248024195158,0.5,0.5,0.232712428,0.0
128,1.0,1.2,1.0,100.0,0.0,0.7708397031679519,0.00016958752531257264,0.2532125214778389,-8.581647892302868e-11,0.37204899073506326,0.4964320609923391,0.7733146595533258,5.632212145097546e-7,16,-1.6186256283257996,0.5,0.5,0.240541343,0.0
128,1.0,1.3,1.0,100.0,0.0,0.7611856418149481,0.00031713762076206534,0.26865410059310313,-1.4122245040049108e-10,0.35836552512380493,0.7561355691283603,0.6213435634967457,9.563095684487687e-7,16,-1.6162048189857787,0.5,0.5,0.23102886,0.0
