L,U,V,t,β,δ,m,uS,ud,vS,vd,Qm,QuS,Qud,QvS,Qvd,Converged,I,f,g,g0,ΔT,μ
128,2.5,2.0,1.0,100.0,0.0,0.3333629373457968,0.33789243726731943,-4.625563022886414e-10,-1.873019723594651e-8,-2.5308838401172363e-11,0.9780657739103527,0.5340271736358204,2.0361327760347874e-6,0.00011083524786903617,9.981703817649315e-8,true,188,-1.4010543915104712,0.05,0.05,2.971087288,0.0
128,2.5,2.1,1.0,100.0,0.0,0.3377613398443715,0.3350790571585871,-3.586038757608101e-10,-1.6556725825650344e-8,-1.8292602115275204e-11,0.9781837438940233,0.5455895136617928,1.5374762237822524e-6,9.408999688503684e-5,7.06780280432453e-8,true,186,-1.3897393979521375,0.05,0.05,2.941076119,0.0
128,2.5,2.2,1.0,100.0,0.0,0.3420870397383372,0.33221586421176263,-2.7935379356969214e-10,-1.4582074385090948e-8,-1.3371270483225573e-11,0.977308032837021,0.555712105202999,1.1686533051888865e-6,7.97817381357687e-5,5.0686552835357695e-8,true,184,-1.3786141742817,0.05,0.05,2.915329352,0.0
128,2.5,2.3,1.0,100.0,0.0,0.3463350891244786,0.3293075198740748,-2.1873593908372513e-10,-1.2802241516099632e-8,-9.884272295179046e-12,0.9758334879009789,0.5644305045079401,8.943232413182978e-7,6.758892686981127e-5,3.6807827410626706e-8,true,182,-1.3676802324383337,0.05,0.05,2.872537061,0.0
128,2.5,2.4,1.0,100.0,0.0,0.3505010561897104,0.32635884409132054,-1.7220054895905612e-10,-1.1209292443911857e-8,-7.388574989081705e-12,0.9741854248511705,0.5718164187366037,6.891094875623337e-7,5.722456968409403e-5,2.7060472763759617e-8,true,180,-1.35693869931043,0.05,0.05,2.838719061,0.0
128,2.5,2.5,1.0,100.0,0.0,0.354581048216999,0.32337476080090966,-1.3633524864609115e-10,-9.792531655708922e-9,-5.58444962690894e-12,0.9728119190329787,0.5779753843527802,5.347080962764263e-7,4.843417825217757e-5,2.013659014043006e-8,true,178,-1.3463903178168914,0.05,0.05,2.811273801,0.0
128,2.5,2.6,1.0,100.0,0.0,0.35857172409239446,0.320360244224264,-1.0857768850680571e-10,-8.539482854120511e-9,-4.267330161429594e-12,0.9721763154104668,0.5830432577732525,4.178560145331816e-7,4.0993498033169506e-5,1.5163486351490497e-8,true,176,-1.3360354520008646,0.05,0.05,2.780465794,0.0
128,2.5,2.7,1.0,100.0,0.0,0.36247029669641107,0.31732026735326513,-8.700046238985237e-11,-7.436687181297772e-9,-3.296364750689178e-12,0.972750390876298,0.5871817654381495,3.2889780776559065e-7,3.470609598124001e-5,1.1552669421446133e-8,true,174,-1.3258740958566524,0.05,0.05,2.742105524,0.0
128,2.5,2.8,1.0,100.0,0.0,0.3662745259158189,0.3142597538210148,-7.015068734239627e-11,-6.470335022441453e-9,-2.573714978266065e-12,0.9750085458239965,0.5905734133291318,2.607710265949714e-7,2.9400883906272085e-5,8.903163045783047e-9,true,172,-1.3159058855336405,0.05,0.05,2.712706633,0.0
128,2.5,2.9,1.0,100.0,0.0,0.36998270329183996,0.311183534101813,-5.6930378813935256e-11,-5.626749586589095e-9,-2.0308236846435977e-12,0.9794233212777614,0.5934160806483346,2.0828485736637248e-7,2.4929644594601303e-5,6.938972192977109e-9,true,170,-1.306130114502821,0.05,0.05,2.684988831,0.0
